feature,importance
ts_rsi_wap_trend_momentum_5_14,0.0005823713958321106
cs_cross_wap_position_wap_trend_log_return_5,0.0005668281647762895
ts_rolling_rank_price_to_depth_bid_20,0.0005638166157280521
cs_cross_ask_size_l1_bid_ask_liquidity_imbalance,0.0005593022863243302
cs_divide_imb1_wap_mid_price_ref_nearfar_deviation,0.000541745218472894
cs_decompose_sigmoid_wap_trend_log_return_5_wap_10mean,0.0005384546980626105
ts_macd_hist_wap_trend_mock_ratio_3,0.0005384311327668318
ts_rsi_kyle_lambda_14,0.0005179239419182551
cs_zscore_add_wap_trend_hist_z_9_near_price_trend_20,0.0005145258864653248
cs_zscore_add_wap_trend_strength_20_market_urgency_v3,0.0005141542129123479
ts_rolling_rank_wap_trend_mock_1_20,0.0005008440503291736
cs_zscore_add_near_price_trend_20_reference_price_trend_20,0.0004941192182549529
cs_zscore_add_composite_pressure_market_urgency_v3,0.0004889438681492654
ts_rsi_ref_price_deviation_14,0.0004663615983812117
ts_macd_hist_wap_trend_zscore_15,0.00042756915761527813
ts_diff_price_to_depth_ask_5,0.0004206500879806378
cs_cross_sell_dominance_wap_trend_log_return_5,0.00041923677468285136
cs_zscore_add_wap_trend_acceleration_wap_trend_strength_20,0.00040386899716774507
cs_divide_imb1_reference_price_wap_ref_price_deviation_pct,0.0003880152941627117
ts_diff_wap_trend_mock_ratio_3_1,0.0003849476770222871
cs_zscore_add_wap_trend_velocity_composite_pressure,0.0003622747971633361
ts_macd_hist_l1_bid_ask_size_ratio,0.0003610188070738672
ts_macd_hist_wap_mid_deviation_pct,0.0003599999846635529
cs_zscore_add_near_price_trend_20_composite_pressure,0.00035647070898215256
ts_mean_wap_trend_acceleration_20,0.0003377612213040146
ts_macd_hist_ref_price_deviation,0.00033614204578706446
cs_cross_wap_position_wap_trend_zscore_15,0.000333226099838744
ts_diff_ref_price_deviation_10,0.00032554748107302195
cs_cross_wap_wap_trend_zscore_15,0.000321983047828198
cs_cross_wap_position_wap_trend_log_return_10,0.0003146259428913903
cs_cross_ref_price_position_wap_trend_velocity,0.0003089621278618933
cs_zscore_add_wap_trend_velocity_near_price_trend_20,0.00030522770609857326
cs_zscore_add_wap_trend_velocity_wap_trend_hist_z_9,0.0002906494911175066
ts_bb_pct_market_urgency_v3_20,0.00028881814669174175
ts_rsi_wap_trend_mock_ratio_3_14,0.0002868392497903572
ts_macd_hist_wap_trend_macd_dif_imb1_reference_price_wap_3_6,0.0002743910091480187
ts_diff_price_to_depth_bid_10,0.00027268272177229905
cs_cross_ask_size_wap_trend_log_return_5,0.0002721388748908921
cs_cross_imbalance_size_market_urgency_v3,0.0002686337516351416
ts_diff_l1_bid_ask_size_ratio_5,0.00026410718003759136
ts_mean_wap_trend_macd_imb1_reference_price_wap_3_6_5,0.0002458758844730649
cs_cross_sell_dominance_composite_pressure,0.00024479344673913477
cs_divide_imb1_reference_price_mid_price_near_price_trend_20,0.00024332673848051663
cs_divide_l1_bid_ask_liquidity_imbalance_ref_price_position,0.00024080275259752516
ts_rsi_price_to_depth_bid_14,0.00023883367717543414
ts_diff_wap_trend_zscore_30_5,0.00023433860391880933
ts_rsi_wap_trend_ewm_12_imb1_reference_price_wap_14,0.00022862287155831157
cs_zscore_add_wap_trend_velocity_wap_trend_acceleration,0.00021698683810097638
cs_zscore_add_ref_nearfar_deviation_ref_price_deviation_pct,0.0002145688760394309
cs_cross_price_to_depth_ask_sell_dominance,0.0002087878786599491
ts_bb_pct_wap_trend_hist_10_30_9_20,0.0002016287762373324
ts_diff_l1_bid_ask_liquidity_imbalance_10,0.00019219414488248437
cs_zscore_add_wap_trend_hist_z_9_composite_pressure,0.00018840119594294634
ts_rsi_wap_trend_mock_3_14,0.0001854364580173091
ts_rsi_wap_trend_zscore_15_14,0.00018174439194315015
ts_diff_wap_trend_mock_1_5,0.00017655040930815338
ts_macd_hist_l1_bid_ask_size_imbalance,0.0001723734995310649
cs_zscore_add_wap_trend_acceleration_wap_trend_log_return_10,0.00016936881631469426
ts_rolling_rank_wap_trend_macd_dif_imb1_reference_price_wap_12_24_20,0.00016182293473280737
ts_macd_signal_wap_position,0.0001616354982441596
ts_diff_ref_price_deviation_5,0.00015985001857612678
ts_diff_wap_trend_strength_20_1,0.0001537814586491794
ts_macd_near_price_trend_20,0.00014168712383356272
ts_bb_pct_wap_trend_log_return_5_20,0.00014004437965787754
ts_ema_notional_imbalance_5,0.0001395380331622438
ts_rolling_rank_wap_trend_ewm_3_imb1_reference_price_wap_10,0.00013935181875991573
ts_diff_price_to_depth_ask_10,0.00013296445610283558
ts_rolling_rank_wap_trend_mock_ratio_3_20,0.0001320935363380021
cs_cross_wap_position_near_price_trend_20,0.0001312987691849483
ts_rolling_rank_wap_trend_ewm_48_imb1_reference_price_wap_5,0.0001233968075001603
ts_rolling_rank_wap_trend_macd_dif_imb1_reference_price_wap_3_6_20,0.00011662418957381833
cs_cross_imb1_reference_price_ask_price_near_price_trend_20,0.00011655970088292432
ts_rolling_rank_wap_trend_log_return_10_20,0.00011343092091867312
ts_diff_wap_trend_hist_z_9_1,0.00011280157459951832
cs_cross_sell_dominance_wap_trend_velocity,0.00011198675827724505
cs_divide_l1_bid_ask_liquidity_imbalance_ref_nearfar_deviation,0.00010556920717182855
ts_rsi_price_to_depth_ask_14,0.00010431497812313323
ts_mean_wap_trend_acceleration_5,0.00009738049006773278
ts_rolling_rank_wap_trend_mock_ratio_1_20,0.00009737186458336546
cs_cross_bid_notional_composite_pressure,0.00009294411128246033
ts_rsi_ask_size_14,0.00008817318758943372
cs_zscore_add_wap_trend_acceleration_market_urgency_v3,0.0000872329631806532
ts_rolling_rank_wap_trend_ewm_12_imb1_reference_price_wap_20,0.00008058273334838886
cs_cross_sell_dominance_wap_position,0.00007821041225256746
cs_zscore_add_bid_notional_price_to_depth_ask,0.00007687396340038518
ts_rsi_l1_bid_ask_size_ratio_14,0.00007279993011361843
cs_cross_ref_price_position_composite_pressure,0.0000681824837322747
near_price_trend_20,0.0000633823214486224
ts_rsi_bid_size_14,0.00005625115139220697
ts_rolling_rank_wap_trend_strength_20_5,0.000055963716398624064
ts_bb_pct_wap_trend_ewm_3_imb1_reference_price_wap_20,0.000051805388294108546
ts_diff_l1_bid_ask_size_ratio_10,0.00004802805479373182
bid_size,0.00004072265969962089
ts_rsi_wap_trend_macd_imb1_reference_price_wap_3_6_14,0.0000390078451946391
ts_rolling_rank_ref_price_deviation_20,0.000038340168359223375
cs_cross_sell_dominance_market_urgency_v3,0.00003825208497167658
ts_rsi_wap_mid_deviation_pct_14,0.00003688836911200609
ts_rolling_rank_wap_trend_macd_imb1_reference_price_wap_3_6_20,0.000018764459902446813
cs_cross_wap_position_composite_pressure,0.000018005416937059345
ts_rolling_rank_wap_trend_mock_ratio_3_5,0.00001543401958331241
ts_rsi_wap_trend_mock_1_14,0.000012041617221841837
ts_rolling_rank_wap_trend_zscore_30_10,0.000011897460826391615
ts_rolling_rank_wap_trend_hist_10_30_9_5,0.0
ts_rolling_rank_wap_trend_log_return_5_5,0.0
cs_divide_l1_bid_ask_liquidity_imbalance_wap_position,0.0
ts_rolling_rank_ref_price_deviation_pct_5,0.0
imbalance_buy_sell_flag,0.0
ts_rolling_rank_wap_trend_ratio_10_30_5,0.0
ts_rolling_rank_wap_trend_momentum_10_5,0.0
